ticker,date,side,spot,final,vol_rank_pct,credit,max_loss,pnl_per_spread
SPY,2022-11-21,bull_put,394.56,393.93,0.73,73.67,426.33,73.67
SPY,2022-11-22,bull_put,399.87,393.11,0.71,73.12,426.88,73.12
SPY,2022-11-23,bull_put,402.24,396.13,0.706,72.35,427.65,72.35
SPY,2022-11-25,bull_put,402.26,393.3,0.702,71.66,428.34,71.66
SPY,2022-11-30,bull_put,407.45,399.39,0.75,78.1,421.9,78.1
SPY,2022-12-06,bull_put,393.93,380.49,0.718,73.2,426.8,73.2
SPY,2022-12-07,bull_put,393.11,386.13,0.718,73.19,426.81,73.19
SPY,2023-11-14,bull_put,448.66,454.66,0.766,24.77,475.23,24.77
SPY,2024-02-22,bull_put,507.48,515.12,0.742,10.52,489.48,10.52
SPY,2024-02-23,bull_put,507.82,511.72,0.738,10.37,489.63,10.37
SPY,2024-02-26,bull_put,505.86,511.26,0.754,10.79,489.21,10.79
SPY,2024-02-27,bull_put,506.95,516.77,0.734,10.15,489.85,10.15
SPY,2024-02-28,bull_put,506.13,515.97,0.742,10.24,489.76,10.24
SPY,2024-04-23,bear_call,505.5,517.25,0.742,8.08,491.92,8.08
SPY,2024-04-24,bear_call,505.66,517.2,0.746,8.12,491.88,8.12
SPY,2024-04-26,bear_call,508.19,520.81,0.758,8.55,491.45,8.55
SPY,2024-04-29,bear_call,510.07,520.92,0.77,9.02,490.98,9.02
SPY,2024-04-30,bear_call,502.26,523.27,0.853,12.23,487.77,12.23
SPY,2024-05-01,bear_call,500.11,529.8,0.849,12.16,487.84,-456.29
SPY,2024-05-02,bear_call,505.03,528.83,0.849,12.23,487.77,12.23
SPY,2024-05-03,bear_call,511.25,529.51,0.889,13.11,486.89,13.11
SPY,2024-05-06,bull_put,516.54,530.05,0.921,13.06,486.94,13.06
SPY,2024-05-07,bull_put,517.25,531.34,0.921,13.07,486.93,13.07
SPY,2024-05-08,bull_put,517.2,529.8,0.897,11.21,488.79,11.21
SPY,2024-05-09,bull_put,520.16,525.96,0.881,10.82,489.18,10.82
SPY,2024-05-10,bull_put,520.81,529.46,0.746,7.2,492.8,7.2
SPY,2024-07-24,bear_call,541.21,518.63,0.837,10.58,489.42,10.58
SPY,2024-07-25,bear_call,538.39,530.61,0.849,10.91,489.09,10.91
SPY,2024-07-26,bull_put,544.35,532.92,0.925,11.22,488.78,11.22
SPY,2024-07-29,bull_put,544.91,533.29,0.905,10.94,489.06,10.94
SPY,2024-07-30,bear_call,541.97,541.99,0.925,13.62,486.38,13.62
SPY,2024-07-31,bull_put,550.37,543.78,0.956,15.06,484.94,15.06
SPY,2024-08-01,bear_call,543.18,552.97,0.972,20.56,479.44,20.56
SPY,2024-08-02,bear_call,532.92,554.22,0.996,25.68,474.32,25.68
SPY,2024-08-05,bear_call,517.4,559.49,1.0,39.1,460.9,-460.9
SPY,2024-08-06,bear_call,522.07,558.65,1.0,41.55,458.45,-458.45
SPY,2024-08-07,bear_call,518.63,560.64,0.992,38.54,461.46,-461.46
SPY,2024-08-08,bear_call,530.61,556.26,1.0,49.83,450.17,49.83
SPY,2024-08-09,bear_call,532.92,562.09,0.996,49.39,450.61,-203.01
SPY,2024-08-12,bear_call,533.29,560.78,0.992,49.09,450.91,-33.46
SPY,2024-08-13,bear_call,541.99,561.57,1.0,53.58,446.42,53.58
SPY,2024-08-14,bear_call,543.78,558.35,0.996,51.67,448.33,51.67
SPY,2024-08-15,bull_put,552.97,558.31,1.0,53.55,446.45,53.55
SPY,2024-08-16,bull_put,554.22,563.57,0.996,52.79,447.21,52.79
SPY,2024-08-19,bull_put,559.49,552.16,0.992,52.61,447.39,52.61
SPY,2024-08-20,bull_put,558.65,550.83,0.988,52.58,447.42,52.58
SPY,2024-08-21,bull_put,560.64,549.44,0.964,43.05,456.95,43.05
SPY,2024-08-22,bull_put,556.26,540.46,0.964,43.74,456.26,43.74
SPY,2024-08-23,bull_put,562.09,546.44,0.96,43.65,456.35,43.65
SPY,2024-08-26,bull_put,560.78,548.76,0.964,43.89,456.11,43.89
SPY,2024-08-27,bull_put,561.57,554.23,0.948,43.03,456.97,43.03
SPY,2024-08-28,bull_put,558.35,559.06,0.944,40.26,459.74,40.26
SPY,2024-08-29,bull_put,558.31,561.89,0.933,36.55,463.45,36.55
SPY,2024-08-30,bull_put,563.57,562.87,0.925,29.01,470.99,29.01
SPY,2024-09-03,bull_put,552.16,563.15,0.893,18.66,481.34,18.66
SPY,2024-09-04,bull_put,550.83,561.39,0.889,18.5,481.5,18.5
SPY,2024-09-05,bull_put,549.44,570.99,0.869,17.3,482.7,17.3
SPY,2024-09-06,bear_call,540.46,568.03,0.857,17.8,482.2,-36.9
SPY,2024-09-09,bear_call,546.44,569.6,0.861,19.69,480.31,19.69
SPY,2024-09-10,bear_call,548.76,571.24,0.865,19.87,480.13,19.87
SPY,2024-09-11,bull_put,554.23,569.99,0.833,14.36,485.64,14.36
SPY,2024-09-12,bull_put,559.06,572.17,0.845,15.4,484.6,15.4
SPY,2024-09-13,bull_put,561.89,571.4,0.774,11.02,488.98,11.02
SPY,2024-09-16,bull_put,562.87,574.04,0.77,11.0,489.0,11.0
SPY,2024-09-17,bull_put,563.15,568.61,0.71,9.56,490.44,9.56
SPY,2024-09-18,bull_put,561.39,568.83,0.714,9.7,490.3,9.7
SPY,2024-09-19,bull_put,570.99,567.76,0.833,14.66,485.34,14.66
SPY,2024-09-20,bull_put,568.03,572.93,0.817,13.86,486.14,13.86
SPY,2024-09-23,bull_put,569.6,567.8,0.798,12.19,487.81,12.19
SPY,2024-09-24,bull_put,571.24,573.19,0.794,12.1,487.9,12.1
SPY,2024-09-25,bull_put,569.99,577.07,0.798,12.25,487.75,12.25
SPY,2024-09-26,bull_put,572.17,576.2,0.778,11.57,488.43,11.57
SPY,2024-09-27,bull_put,571.4,579.6,0.786,11.66,488.34,11.66
SPY,2024-09-30,bull_put,574.04,584.31,0.718,10.62,489.38,10.62
SPY,2024-11-06,bull_put,591.01,590.49,0.782,11.43,488.57,11.43
SPY,2024-11-07,bull_put,595.75,593.66,0.81,12.11,487.89,12.11
SPY,2024-11-08,bull_put,598.25,595.5,0.81,11.91,488.09,11.91
SPY,2024-11-11,bull_put,598.81,597.49,0.758,11.07,488.93,11.07
SPY,2024-11-12,bull_put,596.91,600.73,0.73,9.98,490.02,9.98
SPY,2024-11-13,bull_put,597.22,598.68,0.726,9.86,490.14,9.86
SPY,2024-11-14,bull_put,593.42,602.49,0.758,10.85,489.15,10.85
SPY,2024-11-15,bull_put,585.74,603.67,0.857,14.09,485.91,14.09
SPY,2024-11-18,bull_put,588.21,603.87,0.861,14.36,485.64,14.36
SPY,2024-11-19,bull_put,590.19,607.62,0.865,14.51,485.49,14.51
SPY,2024-11-20,bull_put,590.49,606.69,0.845,12.59,487.41,12.59
SPY,2024-11-21,bull_put,593.66,607.89,0.849,12.94,487.06,12.94
SPY,2024-11-22,bull_put,595.5,604.65,0.849,12.96,487.04,12.96
SPY,2024-11-25,bull_put,597.49,602.9,0.849,12.99,487.01,12.99
SPY,2024-11-26,bull_put,600.73,607.57,0.849,13.31,486.69,13.31
SPY,2024-11-27,bull_put,598.68,604.39,0.849,13.38,486.62,13.38
SPY,2024-12-24,bull_put,601.14,580.49,0.893,15.97,484.03,15.97
SPY,2024-12-26,bull_put,601.16,581.41,0.877,15.42,484.58,15.42
SPY,2024-12-27,bull_put,594.99,582.2,0.893,17.23,482.77,17.23
SPY,2024-12-30,bear_call,588.25,592.75,0.909,21.15,478.85,21.15
SPY,2024-12-31,bear_call,586.07,591.7,0.905,21.02,478.98,21.02
SPY,2025-01-02,bear_call,584.62,597.64,0.897,20.95,479.05,20.95
SPY,2025-01-03,bear_call,591.94,602.92,0.917,23.85,476.15,23.85
SPY,2025-01-06,bull_put,595.42,606.33,0.917,22.07,477.93,22.07
SPY,2025-01-07,bear_call,588.73,609.63,0.921,26.7,473.3,26.7
SPY,2025-01-08,bear_call,589.34,607.92,0.917,26.52,473.48,26.52
SPY,2025-01-10,bear_call,580.49,599.49,0.921,30.13,469.87,30.13
